;Entidad Federativa;Sexo;Salario;Año;Trimestre
247;Tamaulipas;Mujeres;8797.46;2005;Trimestre IV
248;Tlaxcala;Hombres;5330.08;2005;Trimestre IV
249;Tlaxcala;Mujeres;4012.27;2005;Trimestre IV
250;Veracruz de Ignacio de la Llave;Hombres;5941.7;2005;Trimestre IV
251;Veracruz de Ignacio de la Llave;Mujeres;4552.94;2005;Trimestre IV
252;Yucatán;Hombres;6282.99;2005;Trimestre IV
253;Yucatán;Mujeres;4319.52;2005;Trimestre IV
254;Zacatecas;Hombres;5442.22;2005;Trimestre IV
255;Zacatecas;Mujeres;4074.35;2005;Trimestre IV
256;Aguascalientes;Hombres;7790.18;2006;Trimestre I
257;Aguascalientes;Mujeres;6003.17;2006;Trimestre I
258;Baja California;Hombres;11943.73;2006;Trimestre I
259;Baja California;Mujeres;9226.69;2006;Trimestre I
260;Baja California Sur;Hombres;10634.31;2006;Trimestre I
261;Baja California Sur;Mujeres;8148.63;2006;Trimestre I
262;Campeche;Hombres;7288.08;2006;Trimestre I
263;Campeche;Mujeres;5347.1;2006;Trimestre I
264;Coahuila de Zaragoza;Hombres;9349.91;2006;Trimestre I
265;Coahuila de Zaragoza;Mujeres;6623.74;2006;Trimestre I
266;Colima;Hombres;8974.82;2006;Trimestre I
267;Colima;Mujeres;5816.72;2006;Trimestre I
268;Chiapas;Hombres;3683.95;2006;Trimestre I
269;Chiapas;Mujeres;3598.03;2006;Trimestre I
270;Chihuahua;Hombres;9502.34;2006;Trimestre I
271;Chihuahua;Mujeres;7596.11;2006;Trimestre I
272;Ciudad de México;Hombres;10207.05;2006;Trimestre I
273;Ciudad de México;Mujeres;7960.73;2006;Trimestre I
274;Durango;Hombres;6533.16;2006;Trimestre I
275;Durango;Mujeres;5578.67;2006;Trimestre I
276;Guanajuato;Hombres;6938.31;2006;Trimestre I
277;Guanajuato;Mujeres;4748.56;2006;Trimestre I
278;Guerrero;Hombres;5236.37;2006;Trimestre I
279;Guerrero;Mujeres;4552.12;2006;Trimestre I
280;Hidalgo;Hombres;5353.57;2006;Trimestre I
281;Hidalgo;Mujeres;4266.13;2006;Trimestre I
282;Jalisco;Hombres;8489.09;2006;Trimestre I
283;Jalisco;Mujeres;5543.65;2006;Trimestre I
284;México;Hombres;7790.78;2006;Trimestre I
285;México;Mujeres;5424.71;2006;Trimestre I
286;Michoacán de Ocampo;Hombres;5705.58;2006;Trimestre I
287;Michoacán de Ocampo;Mujeres;4087.84;2006;Trimestre I
288;Morelos;Hombres;6407.87;2006;Trimestre I
289;Morelos;Mujeres;4382.93;2006;Trimestre I
290;Nayarit;Hombres;6888.41;2006;Trimestre I
291;Nayarit;Mujeres;4930.74;2006;Trimestre I
292;Nuevo León;Hombres;11299.27;2006;Trimestre I
293;Nuevo León;Mujeres;7343.92;2006;Trimestre I
294;Oaxaca;Hombres;4125.94;2006;Trimestre I
295;Oaxaca;Mujeres;3205.56;2006;Trimestre I
296;Puebla;Hombres;5647.77;2006;Trimestre I
297;Puebla;Mujeres;3711.48;2006;Trimestre I
298;Querétaro;Hombres;8272.07;2006;Trimestre I
299;Querétaro;Mujeres;5890.68;2006;Trimestre I
300;Quintana Roo;Hombres;10280.33;2006;Trimestre I
301;Quintana Roo;Mujeres;6966.2;2006;Trimestre I
302;San Luis Potosí;Hombres;6714.74;2006;Trimestre I
303;San Luis Potosí;Mujeres;5047.2;2006;Trimestre I
304;Sinaloa;Hombres;8394.53;2006;Trimestre I
305;Sinaloa;Mujeres;5939.98;2006;Trimestre I
306;Sonora;Hombres;9920.59;2006;Trimestre I
307;Sonora;Mujeres;6890.19;2006;Trimestre I
308;Tabasco;Hombres;7298.57;2006;Trimestre I
309;Tabasco;Mujeres;6112.69;2006;Trimestre I
310;Tamaulipas;Hombres;9261.83;2006;Trimestre I
311;Tamaulipas;Mujeres;6786.33;2006;Trimestre I
312;Tlaxcala;Hombres;5729.93;2006;Trimestre I
313;Tlaxcala;Mujeres;4302.83;2006;Trimestre I
314;Veracruz de Ignacio de la Llave;Hombres;5741.98;2006;Trimestre I
